EG	GN	SP	GI	Description	
EG10001	alr	P0A6B4	g1790487	Alanine racemase
EG13217	ybaE	P46890	g1786650	Predicted ABC transporter periplasmic-binding protein, function unknown
EG13218	ybaO	P0ACJ5	g87081742	Function unknown, predicted transcriptional regulator; Lrp family
EG13219	ldcC	P52095	g1786384	Lysine decarboxylase
EG13220	tilS	P52097	g1786386	tRNA(Ile) lysidine (L34) synthase, ATP-dependent; solely responsible for tRNA(Ile) lysidine 34 (L34) formation
EG13221	rof	P0AFW8	g87081698	anti-Rho (termination factor); pleiotropic multicopy suppressor of Ts mutations; ribosome-associated; growth-rate regulated
EG13222	yaeP	P0A8K5	g48994876	Function unknown
EG13223	yaeQ	P0AA97	g1786388	Multi-copy suppressor of E. coli rfaH anti-termination defect responsible for reduced hlyCABD expression
EG13224	yaeR	P52096	g87081697	Function unknown
EG13226	ftsK	P46889	g1787117	DNA translocase at septal ring sorting daughter chromsomes
EG13227	modE	P0A9G8	g1786976	Repressor of the modABC operon for molybdenum transport; secondary activator of hyc and nar operons; dimeric
EG13228	ycjG	P51981	g87081876	L-Ala-D/L-Glu epimerase; also epimerizes some other Ala-X dipeptides
EG13230	ybhD	P52696	g1786984	Putative LysR-family transcriptional regulator, function unknown
EG13231	pgl	P52697	g1786983	6-phosphogluconolactonase, pentose phosphate shunt
EG13232	ymcE	P0AAA5	g1787225	Cold shock gene, function unknown; mistakenly thought to be sfa, which is the adjacent gene, now called gnsA
EG13233	gnsA	P0AC92	g87081815	Multicopy suppressor of null secG(Cs) and fabA6(Ts); overexpression increases unsaturated fatty acid content of phospholipids; gnsB paralog
EG13234	yccM	P52636	g1787226	Putative polyferredoxin, function unknown
EG13235	mngA	P54745	g1786951	2-O-alpha-mannosyl-D-glycerate transport, EIIABC component; PTS system; overproduction suppresses the defective ompC thermoresponse of a micF mutant
EG13236	mngB	P54746	g1786952	alpha-Mannosidase, 2-O-alpha-mannosyl-D-glycerate catabolism
EG13237	nei	P50465	g1786932	DNA glycosylase/apurinic lyase, deoxyinosine-specific; endonuclease VIII
EG13238	cobU	P0AE76	g1788302	Partial cobalamin biosynthesis pathway present in E. coli
EG13239	yeeH'	Null	Null	Pseudogene, internal fragment
EG13240	cobC	P52086	g1786857	Probable alpha-ribazole-5'-phosphate phosphatase; potential partial cobalamin biosynthesis pathway
EG13241	nadD	P0A752	g1786858	Nicotinate mononucleotide adenylyltransferase, NAD(P) biosynthesis
EG13242	yecJ	P0AD10	g87081998	Function unknown
EG13243	hlyE	P77335	g87081853	Latent secreted hemolysin E; regulated by SlyA, Fnr and HN-S
EG13244	ybaP	P77301	g1786689	Function unknown
EG13245	ybaQ	P0A9T6	g87081745	predicted transcriptional regulator, function unknown
EG13246	copA	Q59385	g1786691	Copper-, silver-translocating P-type ATPase efflux pump; involved in copper resistance; copper- and silver-inducible; regulated by copper-responsive CueR activator
EG13247	ybaS	P77454	g1786693	Glutaminase, l-glutamine catabolism
EG13248	ybaT	P77400	g1786694	Mutant inhibits reduction of selenate, function unknown; predicted transporter
EG13249	ppiD	P0ADY1	g1786645	Periplasmic folding chaperone, has an inactive PPIase domain
EG13250	ybaV	P0AAR8	g1786646	Competence protein ComEA homolog, function unknown
EG13251	fadM	P77712	g1786647	 long-chain acyl-CoA thioesterase III
EG13252	queC	P77756	g1786648	Required for 7-cyano-7-deazaguanine (preQ0) synthesis; queuosine biosynthesis, step 1
EG13253	ybaY	P77717	g1786658	Novel verified lipoprotein, function unknown
EG13254	ybaZ	P0AFP2	g1786659	Binds and enhances nucleotide excision repair of O(6)-alkylguanine; DNA-binding protein; degenerate Ada/Ogt cysteine methyltransferase paralog
EG13256	cueR	P0A9G4	g1786695	Activator of copper-responsive regulon genes cueO and copA; MerR homolog
EG13257	ybbJ	P0AAS3	g1786696	Inner membrane protein stimulating the ftsH htpX mutant suppressor activity of QmcA
EG13258	qmcA	P0AA53	g1786697	Multicopy suppressor of ftsH htpX double mutant; membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain
EG13259	ybbL	P77279	g1786698	Function unknown
EG13260	ybbM	P77307	g87081746	Inner membrane protein, UPF0014 family, function unknown
EG13261	ybbN	P77395	g87081747	DnaK co-chaperone, thioredoxin-like protein; has SXXC not CXXC motif
EG13262	ybbO	P0AFP4	g1786701	Predicted oxidoreductase, function unknown
EG13263	ybbP	P77504	g1786704	Predicted ABC transporter permease, function unknown
EG13265	glxR	P77161	g1786719	Tartronate semialdehyde reductase, glyoxylate-inducible, NADH-dependent
EG13267	allS	P0ACR0	g1786713	Transcriptional activator for the allD operon
EG13268	fsr	P52067	g1786686	Probable fosmidomycin exporter, membrane protein; overexpression confers fosmidomycin resistance
EG13270	aqpZ	P60844	g1787101	Aquaporin Z, glycerol and water channel; RpoS regulon
EG13271	panE	P0A9J4	g1786627	2-dehydropantoate 2-reductase, NADPH-dependent; also indirectly involved in the alternative pathway for pyrimidine biosynthesis
EG13272	yajL	Q46948	g87081736	Confers resistance to oxidative stress, chaperone activity; mutant accumulates protein aggregates
EG13273	thiI	P77718	g1786625	tRNA s(4)U8 sulfurtransferase, activated by IscS; ThiS-thiocarboxylate (ThiS-COSH) synthesis; mutant is near-UV resistant
EG13274	yqeK	P77136	g87082168	Part of T3SS PAI ETT2 remnant, function unknown
EG13275	nudI	P52006	g1788585	Nucleoside triphosphatase, pyrimidine dNTPs preferred
EG13276	torZ	P46923	g87081994	Periplasmic trimethylamine oxide (TMAO) reductase; also has biotin sulfoxide and DMSO reductase activities; respiratory system
EG13277	torY	P52005	g1788181	Cytochrome c homolog required for periplasmic reduction of TMAO by TorZ; respiratory system
EG13278	yedK	P76318	g48994894	Function unknown
EG13279	yedL	P76319	g1788242	Predicted acetyltransferase
EG13281	yedN'	P76321	g87082002	Pseudogene reconstruction, IpaH/YopM family
EG13282	emrK	P52599	g1788711	EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein; overexpression resistance to deoxycholate; hyperlethality gene; signal anchor
EG13283	emrY	P52600	g1788710	EmrKY-TolC multidrug resistance efflux pump; overexpression resistance to deoxycholate; hyperlethality gene
EG13284	yfdE	P76518	g87082093	Function unknown, CoA transferase family
EG13285	ygaM	P0ADQ7	g1789027	Function unknown
EG13286	nrdH	P0AC65	g1789028	NrdH-redoxin reducing oxidized NrdEF
EG13287	nrdI	P0A772	g1789029	Flavodoxin required for NrdEF cluster assembly
EG13288	ygaP	P55734	g1789022	Function unknown, rhodanese activity in vitro; tributyltin-inducible via YgaU
EG13289	yqgE	P0A8W5	g87082187	Function unknown, low abundance protein; homologous to P. aeruginosa AlgH regulatory protein
EG13290	yqgF	P0A8I1	g1789318	Resolvase homolog, function unknown; has an RNase H-like fold
EG13291	glcF	P52074	g48994913	Glycolate oxidase iron-sulfur subunit
EG13292	mhpE	P51020	g1786548	4-Hydroxy-2-oxovalerate aldolase; utilizes MHP
EG13293	mhpT	P77589	g87081723	Probable 3-hydroxyphenylpropionic acid transporter
EG13294	yaiL	P51024	g87081724	Function unknown
EG13295	frmB	P51025	g1786551	S-formylglutathione hydrolase, formaldehyde degradation
EG13296	frmR	P0AAP3	g87081725	Negative regulator of the frmRAB operon
EG13297	yaiO	Q47534	g1786555	Outer membrane protein, function unknown
EG13298	yaiP	Q47536	g1786560	Function unknown, related to intercellular adhesion proteins and glucosyltransferases
EG13299	tauB	Q47538	g1786563	ABC transporter ATPase, taurine uptake
EG13300	tauA	Q47537	g87081727	Periplasmic taurine binding protein
EG13301	tauC	Q47539	g1786564	ABC transporter permease, taurine uptake
EG13302	yaiS	P71311	g87081726	Function unknown
EG13304	dtpD	P75742	g1786927	Dipeptide and tripeptide permease D
EG13305	ybgI	P0AFP6	g1786928	Conserved metal-binding protein, NIF3 family, function unknown
EG13306	ybgJ	P0AAV4	g1786929	Function unknown
EG13307	ybgK	P75745	g1786930	Function unknown
EG13308	ybgL	P75746	g1786931	Function unknown, low abundance protein, UPF0271 family
EG13309	ypjI'	P58095	Null	Pseudogene reconstruction, CP4-57 putative defective prophage
EG13310	abrB	P75747	g87081776	Regulator of aidB expression; inner membrane protein
EG13311	ybgO	P75748	g87081777	Function unknown
EG13312	ybgP	P75749	g1786936	Predicted periplasmic pilus chaperone, function unknown
EG13313	ybgQ	P75750	g87081778	Putative outer membrane fimbrial subunit export usher protein; function unknown
EG13314	ybhF	P0A9U1	g87081782	Putative ABC-type transporter, function unknown
EG13315	ybhG	P75777	g1787013	Putative membrane fusion protein (MFP), function unknown; component of putative efflux pump; signal anchor
EG13316	ybiX	P75779	g87081784	Function unknown; Fe(II)-dependent oxygenase superfamily
EG13317	fiu	P75780	g1787024	TonB-dependent ferric iron outer membrane transporter; siderophore receptor for ferri-dihydroxybenzoylserine, ferri-dihydroxybenzoate and other catecholate siderophores; surface receptor for colicins G, H, and E492
EG13318	mcbA	P0AAX6	g87081785	Stimulates colanic acid mucoidy and suppresses biofilm; repressed by McbR; MqsR activates McbR transcription
EG13319	rlmF	P75782	g87081786	23S rRNA m(6)A1618 methyltransferase, SAM-dependent
EG13320	ybiO	P75783	g87081787	Putative mechanosensitive channel protein, function unknown; membrane protein
EG13321	ybiP	P75785	g1787035	Function unknown, EptAB family
EG13322	mntR	P0A9F1	g1787038	Mn(2+)-responsive transcriptional repressor of mntH
EG13323	ybiR	P75788	g1787039	Putative transporter, function unknown
EG13324	ybiS	P0AAX8	g1787040	L,D-transpeptidase linking Lpp to murein, periplasmic
EG13325	ybiT	P0A9U3	g1787041	Function unknown, ABC transporter family
EG13326	ybiU	P75791	g1787042	Function unknown
EG13327	ybiV	P75792	g1787043	Sugar phosphatase; preference for fructose-1-P, ribose-5-P and glucose-6-P; phosphoramidase and acetyl phosphatase; HAD12
EG13328	ybiW	P75793	g1787044	Pyruvate formate-lyase homolog, function unknown
EG13329	ispU	P60472	g1786371	Undecaprenyl pyrophosphate synthase; dimeric
EG13330	gloB	P0AC84	g1786406	Glyoxalase II, hydroxyacylglutathione hydrolase, Zn(2+) cofactor
EG13331	yafS	P75672	g87081700	Predicted SAM-dependent methyltransferase, function unknown
EG13332	yafT	P77339	g1786410	Novel verified lipoprotein, function unknown
EG13333	yafU'	P77354	g1786411	Pseudogene, C-terminal fragment; overexpressed fragment localized to inner membrane
EG13334	yafV	Q47679	g1786412	Amidase/nitrilase superfamily, function unknown
EG13335	yafW	Q47684	g1786440	Antitoxin component of toxin-antitoxin protein pair YkfI-YafW; CP4-6 putative prophage remnant
EG13336	yafX	P75676	g1786442	Function unknown, CP4-6 putative prophage remnant
EG13337	yafY	P77365	g1786445	Inner membrane lipoprotein, function unknown; overproduction stimulates degP expression; CP4-6; putative prophage remnant
EG13338	yafZ	P77206	g87081705	Function unknown, CP4-6 putative prophage remnant
EG13339	ykfA	P75678	g87081706	Putative GTP-binding protein, function unknown, CP4-6; putative prophage remnant
EG13340	perR	Q57083	g1786448	Regulatory gene for peroxide resistance in stationary phase; CP4-6 putative defective prophage
EG13341	ykfC'	Q47688	g87081707	Pseudogene, retron-type reverse transcriptase family, CP4-6; putative defective prophage; N-terminal fragment
EG13342	mmuP	Q47689	g87081708	S-methylmethionine permease, CP4-6 putative prophage remnan
EG13343	mmuM	Q47690	g1786456	S-methylmethionine:(seleno)homocysteine methyltransferase; CP4-6 putative prophage remnant
EG13344	yagE	P75682	g1786463	Function unknown, CP4-6 putative prophage remnant
EG13345	yagF	P77596	g1786464	Predicted dehydratase, function unknown, CP4-6 putative prophage remnant
EG13346	yagG	P75683	g1786466	Putative sugar symporter, function unknown, CP4-6; putative prophage remnant
EG13347	yagH	P77713	g1786467	Putative beta-xylosidase, function unknown, CP4-6; putative prophage remnant
EG13348	yjjZ	P55914	g87082437	Function unknown; Fur regulon
EG13349	yagI	P77300	g1786468	Function unknown, CP4-6 putative prophage remnant
EG13351	abgB	P76052	g1787598	p-Aminobenzoyl-glutamate hydrolase, B subunit; PGH; manganese-dependent; required for p-aminobenzoyl-glutamate utilization
EG13352	abgA	P77357	g87081880	p-Aminobenzoyl-glutamate hydrolase, A subunit; PGH; manganese-dependent; required for p-aminobenzoyl-glutamate utilization
EG13353	abgR	P77744	g1787601	Predicted regulator of abgABT operon
EG13354	ydaL	P76053	g1787602	Function unknown
EG13355	ydaM	P77302	g87081881	Diguanylate cyclase, csgD regulator; also regulates GGDEF protein YaiC
EG13356	ydaN	P64423	g1787604	Zn(II) transporter
EG13357	ttcA	P76055	g1787606	Required for the formation of 2-thiocytidine s(2)C32 in tRNA
EG13358	intR	P76056	g1787607	Integrase gene, Rac prophage
EG13359	ydaQ	P76057	g87081882	Putative exisionase, Rac prophage
EG13360	racR	P76062	g1787619	Rac prophage repressor, cI-like
EG13361	ydaS	P76063	g1787620	Function unknown, Rac prophage
EG13362	ydaT	P76064	g1787621	Required for swarming phenotype, function unknown; Rac prophage
EG13363	ydaU	P76065	g1787622	Function unknown, Rac prophage
EG13364	ydaV	P77546	g1787623	Function unknown, Rac prophage
EG13365	ydaW'	P76066	g87081888	Pseudogene, N-terminal fragment, Rac prophage
EG13366	rzpR'	P77551	g87081889	Pseudogene, Rz homolog, Rac prophage
EG13367	ydaY'	P76069	g1787629	Pseudogene, Rac prophage
EG13369	ynaA'	P77658	g1787631	Pseudogene, N-terminal fragment, Rac prophage
EG13370	stfR	P76072	g87081892	Side-tail fiber protein, Rac prophage
EG13371	tfaR	P77163	g1787637	Phage lambda tail fiber assembly gene homolog, Rac prophage
EG13372	pinR	P0ADI0	g1787638	DNA invertase, site-specific recombination, Rac prophage
EG13373	ynaE	P76073	g1787639	Cold shock gene, function unknown, Rac prophage
EG13374	ompL	P76773	g1790307	Outer membrane porin L
EG13375	ompN	P77747	g1787641	Outer membrane porin N
EG13376	mppA	P77348	g87081878	Murein tripeptide/heme transport, periplasmic binding protein; L-ala-gamma-D-glutamyl-meso-DAP binding protein; feeds into the Dpp (heme)and Opp (murein peptide) transport systems
EG13377	mtfA	P76346	g87082014	DgsA(Mlc) anti-repressor; binds DgsA(Mlc) and blocks its repression of ptsG; cytoplasmic
EG13378	yeeJ	P76347	g87082015	Overexpression increases adhesion and biofilm formation; probable adhesin, function unknown; intimin/invasin homolog
EG13380	yeeL'	P76349	g87082016	Pseudogene reconstruction, glycosyltransferase family
EG13381	ykgA'	P77601	g87081714	Pseudogene, N-terminal fragment, AraC family; interrupted/deleted by IS3A
EG13382	yeeN	P0A8A2	g1788294	Function unknown, UPF0082 family
EG13383	yeeO	P76352	g2367126	Predicted multdrug exporter, MATE family, function unknown
EG13384	yeeP'	P76359	g87082019	Pseudogene, CP4-44 putative defective prophage; putative GTP-binding protein
EG13385	yeeR	P76361	g87082020	Function unknown, CP4-44 putative defective prophage
EG13386	yeeS	P76362	g1788312	Function unknown, CP4-44 putative defective prophage
EG13387	yeeT	P64521	g1788313	Function unknown, CP4-44 putative defective prophage
EG13388	yeeU	P76364	g1788314	Antitoxin component of toxin-antitoxin protein pair YeeV-YeeU; CP4-44putative defective prophage
EG13389	yeeV	P64524	g1788315	Toxin component of toxin-antitoxin protein pair YeeV-YeeU; CP4-44 putative defective prophage
EG13390	yeeW'	P64526	g1788316	Pseudogene, CP4-44 putative defective prophage
EG13391	yeeX	P0A8M6	g1788317	Function unknown, UPF0265 family
EG13392	yeeY	P76369	g87082024	Function unknown
EG13393	yeeZ	P0AD12	g1788327	Function unknown; predicted enzyme with a nucleoside diphosphate sugar substrate and an NAD(P) cofactor
EG13394	yfhM	P76578	g1788868	Large probable lipoprotein, function unknown; Cys conserved
EG13395	iscU	P0ACD4	g1788878	Iron-sulfur cluster assembly scaffold protein
EG13396	hycI	P0AEV9	g1789072	Maturation endoprotease for Hydrogenase 3 large subunit HycE
EG13397	iscR	P0AGK8	g1788880	Transcriptional repressor for isc operon; contains Fe-S cluster; binds RNA in vitro
EG13398	ylbE'	P77129	g1786730	Pseudogene reconstruction, yahG paralog
EG13399	fdrA	Q47208	g1786729	Multicopy suppressor of dominant negative ftsH mutations
EG13405	yecM	P52007	g87081996	Function unknown, low abundance protein; structure suggests YecM is a metal-dependent enzyme
EG13406	cld	P76372	g87082029	Regulator of lipopolysaccharide O-chain length; gene studied in Salmonella and non-K-12 strains
EG13407	ugd	P76373	g1788340	UDP-glucose 6-dehydrogenase
EG13408	slyA	P0A8W2	g87081950	Activates crytpic hemolysin gene hlyE; global transcriptional regulator
EG13409	slyB	P0A905	g48994887	Novel verified lipoprotein, function unknown
EG13410	csgD	P52106	g1787277	Transcriptional activator for csgBA and other genes
EG13411	csgE	P0AE95	g1787276	Involved in curlin assembly/transport; CsgEFG curlin secretion complex
EG13412	csgF	P0AE98	g1787275	Outer membrane protein involved in curlin assembly/transport; CsgEFG curlin secretion complex
EG13413	csgG	P0AEA2	g1787274	Secretes curli subunits across OM; pore-forming OM lipoprotein; CsgEFG curlin secretion complex
EG13414	csgC	P52107	g1787280	Curli assembly protein
EG13415	gmr	P77334	g1787541	Cyclic-di-GMP phosphodiesterase; csgD regulator; modulates protein stability of RNase II
EG13416	rfaE	P76658	g1789432	Heptose 7-P kinase/heptose 1-P adenyltransferase; LPS core prescursor synthesis: bifunctional enzyme presumably involved in both D-glycero-D-manno-heptose-1-phosphate and ADP-D-glycero-D-manno-heptose synthesis
EG13417	ybfL'	P75741	g87081775	Pseudogene reconstruction, H repeat-associated protein; RhsC-linked,
EG13418	csiE	P54901	g87082124	Stationary phase inducible protein; sigma S-dependent promoter
EG13419	sodC	P0AGD1	g1787934	Superoxide dismutase, Cu, Zn, periplasmic; mutants are sensitive to exogenous hydrogen peroxide in early stationary phase
EG13420	ydhF	P76187	g48994888	Function unknown
EG13421	gloA	P0AC81	g1787940	Glyoxalase I, lactoylglutathione lyase, Ni(2+) cofactor; inactivated by zinc; dimeric
EG13422	feaR	Q47129	g1787649	Transcriptional activator for tynA and feaB, AraC family
EG13425	ybjD	P75828	g1787102	Function unknown
EG13426	ybjE	P75826	g87081795	Function unknown
EG13427	rumB	P75817	g1787083	23S rRNA m(5)U747 methyltransferase, SAM-dependent
EG13428	ompG	P76045	g1787579	Outer membrane porin G; induced by AI-2 pheromone
EG13429	flxA	P77609	g1787849	Member of FliA regulon, function unknown, Qin prophage
EG13430	ycfL	P75946	g1787347	Probable lipoprotein, function unknown; Cys conserved
EG13431	ycfM	P0AB38	g1787348	Novel verified lipoprotein, function unknown
EG13432	thiK	P75948	g1787349	Thiamine kinase involved in thiamine salvage
EG13433	nagZ	P75949	g1787350	beta-N-Acetylglucosaminidase
EG13434	ycfP	P0A8E1	g87081832	Function unknown
EG13435	ycfQ	P75952	g87081833	Predicted transcriptional repressor, function unknown
EG13436	bhsA	P0AB40	g1787355	Biofilm, cell surface and signaling defects, YhcN family; molecular and physiological function unknown
EG13437	ycfS	P75954	g1787356	L,D-transpeptidase linking Lpp to murein, periplasmic
EG13438	ycfT	P75955	g1787359	Inner membrane protein, function unknown
EG13439	lolC	P0ADC3	g1787360	LolA-dependent release of lipoproteins from inner membrane; essential gene
EG13440	lolD	P75957	g87081834	LolA-dependent release of lipoproteins from inner membrane; essential gene
EG13441	lolE	P75958	g1787362	LolA-dependent release of lipoproteins from inner membrane; essential gene
EG13442	nagK	P75959	g1787363	N-Acetyl-D-glucosamine kinase; phosphorylates GlcNAc in the cytoplasm
EG13443	cobB	P75960	g1787364	Protein lysine deacetylase, NAD(+)-dependent, sirituin homolog; known in vivo substrates include acetyl-CoA synthase (Acs) and CheY; deacetylation of K609 activates Acs; acetylation and deacetylation of CheY affects chemotaxis
EG13444	ycfZ	P75961	g1787365	Inner membrane protein, function unknown
EG13445	ymfA	P75962	g87081835	Required for swarming phenotype, inner membrane protein, function unknown
EG13446	nudJ	P0AEI6	g1787379	Thiamin pyrophosphate (TPP) phosphatase; non-specific nucleoside tri-and diphosphatase; bacimethrin resistance
EG13447	rluE	P75966	g87081838	23S rRNA U2457 pseudouridine synthase
EG13448	ymfD	P75967	g1787383	Predicted SAM-dependent methyltransferase, function unknown; e14 prophage
EG13449	ymfE	P75968	g1787384	Predicted membrane protein, function unknown, e14 prophage
EG13451	caiF	P0AE58	g87081680	Transcriptional activator of cai operon
EG13452	trmJ	P0AE01	g1788881	tRNA mC32/mU32 methyltransferase, SAM-dependent; low abundance protein
EG13453	yfhR	P77538	g1788884	S9 peptidase family protein, function unknown
EG13454	hcaT	Q47142	g1788886	Probable 3-phenylpropionic acid/cinnamic acid transporter; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway
EG13455	hcaR	Q47141	g1788887	Transcriptional activator of the hca operon; inducd by 3-phenylpropionate and cinnamic acid; autoregulatory
EG13456	hcaE	P0ABR5	g1788888	3-phenylpropionate/cinnamic acid dioxygenase, alpha subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway
EG13457	hcaF	Q47140	g1788889	3-phenylpropionate/cinnamic acid dioxygenase, beta subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway
EG13458	hcaC	P0ABW0	g1788890	3-phenylpropionate/cinnamic acid dioxygenase, ferredoxin subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway
EG13459	hcaB	P77646	g1788891	3-phenylpropionate-dihydrodiol dehydrogenase; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway
EG13460	hcaD	P77650	g1788892	3-phenylpropionate/cinnamic acid dioxygenase, ferredoxin reductase subunit; hca genes catabolize 3-phenylpropionate and cinnamic acid, feeding the products into the the mhp pathway
EG13461	glrK	P52101	g87082128	Sensor protein kinase regulating glmY sRNA; cognate response regulator is GlrR(QseF)
EG13462	yphA	P0AD47	g1788893	Predicted membrane protein, function unknown; homologous to membrane oxidoreductase subunits
EG13463	yphB	P76584	g1788894	Putative aldose-1-epimerase, function unknown; mutarotase family
EG13464	yphC	P77360	g87082125	Function unknown, alcohol dehydrogenase homolog
EG13465	yphD	P77315	g1788896	Putative ABC transporter permease protein; function unknown
EG13466	yphE	P77509	g1788897	Putative ABC transporter ATP-binding protein; function unknown
EG13467	yphF	P77269	g1788898	Putative ABC transporter periplasmic binding protein; function unknown
EG13468	yphG	P76585	g87082126	Function unknown
EG13469	yphH	P76586	g87082127	Function unknown
EG13470	ybiY	P75794	g1787045	Pyruvate formate-lyase activase homolog, function unknown
EG13471	fsaA	P78055	g87081788	Fructose-6-phosphate aldolase A
EG13472	gsiA	P75796	g1787051	Glutathione transporter ATP-binding protein; GsiABCD is an ABC transporter system
EG13473	gsiB	P75797	g1787052	Glutathione periplasmic binding protein; GsiABCD is an ABC transporter system
EG13474	gsiC	P75798	g1787053	Glutathione transporter permease; GsiABCD is an ABC transporter system
EG13475	gsiD	P75799	g1787054	Glutathione transporter permease; GsiABCD is an ABC transporter system
EG13476	yliE	P75800	g1787055	Predicted cyclic-di-GMP phosphodiesterase, inner membrane protein, function unknown
EG13477	yliF	P75801	g1787056	Predicted diguanylate cyclase, function unknown; possible lipoprotein
EG13478	rimO	P0AEI4	g1787057	Ribosomal protein S12 methylthiotransferase; radical SAM superfamily
EG13479	bssR	P0AAY1	g1787059	Repressor of biofilm formation by indole transport regulation; global regulator. e.g. of AI-2 transport and motility genes
EG13480	yliI	P75804	g1787060	Soluble aldose sugar dehydrogenase; Asd; binds PQQ; outer membrane protein
EG13481	yliJ	P0ACA7	g87081789	Function unknown, glutathione S-transferase homolog
EG13482	ydjF	P77721	g1788069	Putative transcriptional regulator, function unknown
EG13483	ydjG	P77256	g1788070	alpha-Keto reductase, function unknown; NADH-dependent; can use methylglyoxal as substrate
EG13484	ydjH	P77493	g87081971	Putative sugar kinase, function unknown
EG13485	ydjI	P77704	g1788072	Putative sugar 1,6-bisphosphate aldolase, function unknown
EG13486	ydjJ	P77280	g1788073	Putative alcohol dehydrogenase, function unknown; Zn-type
EG13487	ydjK	P76230	g1788074	Putative sugar transporter, function unknown
EG13488	ydjL	P77539	g1788075	Putative alcohol dehydrogenase, function unknown; Zn-type
EG13489	yeaC	P76231	g87081972	Function unknown
EG13490	spy	P77754	g1788039	Periplasmic protein induced by zinc and envelope stress, part of cpxR and baeSR regulons
EG13491	yeaE	P76234	g1788081	Aldo-keto reductase, methylglyoxal to acetol; NADPH-dependent
EG13492	mipA	P0A908	g1788082	MltA-interacting protein;  outer membrane; binds MrcB and MltA in a heterotrimer
EG13493	yeaG	P0ACY3	g1788083	Protein kinase, function unknown; autokinase
EG13494	yeaH	P76235	g1788084	Function unknown
EG13495	yeaI	P76236	g1788085	Predicted diguanylate cyclase, function unknown
EG13496	yeaJ	P76237	g87081974	Predicted diguanylate cyclase, function unknown
EG13497	yeaK	P64483	g1788087	Function unknown, homologous to YbaK and an insertion domain in ProS; may deacylate mischarged tRNA
EG13498	yeaL	P0ACY6	g1788090	Predicted inner membrane protein, UPF0756 family, function unknown
EG13499	yeaM	P76241	g1788091	AraC family transcriptional activator, function unknown
EG13500	yeaN	P76242	g1788092	Putative transporter, function unknown; membrane protein
EG13501	yeaO	P76243	g87081976	Function unknown
EG13502	yeaP	P76245	g87081977	Diguanylate cyclase, role unknown
EG13503	yeaQ	P64485	g1788096	Function unknown, UPF0410 family
EG13504	yeaR	P64488	g1788098	Stress-induced protein, function unknown; involved in cadmium and peroxide resistance
EG13505	leuE	P76249	g1788099	Amino acid exporter; overexpression causes leucine excretion; confers resistance to a number of amino acids and analogs, including glycyl-l-leucine, norleucine, threonine, homoserine lactone, alpha-aminobutyric acid, histidine, and homoserine
EG13506	dmlR	P76250	g87081978	Transcriptional activator for dmlA; negative autoregulatory
EG13507	dmlA	P76251	g1788101	D-malate oxidase, NAD(+)-dependent
EG13508	yeaV	P0ABD1	g1788102	Putative transporter, function unknown
EG13509	yeaW	P0ABR7	g1788103	Putative oxygenase alpha subunit, function unknown
EG13510	yeaX	P76254	g1788104	Putative oxygenase reductase component, function unknown
EG13511	yeaY	P0AA91	g1788108	RpoE-regulated lipoprotein, function unknown
EG13512	yeaZ	P76256	g1788109	Protease for YgjD, essential gene; involved in nucleoid maintanence
EG13513	yoaA	P76257	g1788110	Function unknown
EG13514	yoaB	P0AEB7	g87081979	Function unknown, UPF0076 famiily
EG13515	yoaC	P64490	g1788112	Conserved protein, DUF1889 family, function unknown
EG13516	adrB	P76261	g87081980	Predicted cyclic-di-GMP phosphodiesterase; regulation of cellulose production
EG13517	yoaE	P0AEC0	g1788119	Function unknown
EG13519	ypjC'	P76613	g1789003	Pseudogene reconstruction
EG13520	ygaQ'	P76616	g1789007	Pseudogene reconstruction, has alpha-amylase-related domain; reported to be required for swarming phenotype
EG13523	csiD	P76621	g87082147	Carbon starvation induced gene, function unknown; first gene in csiD-lhgO-gabDTP operon; tetrameric; structural homolog of 2-oxoglutarate Fe(II)-dependent oxygenases
EG13524	ygaV	P77295	g1789021	Tributyltin-inducible repressor of ygaVP, function unknown
EG13525	ygaW	P64550	g1789025	Multiple stress-responsive, function unknown
EG13527	ygaY'	P76628	g1789035	Pseudogene reconstruction, MFS family
EG13528	ygaZ	P76630	g1789038	Probable L-valine exporter, norvaline resistance
EG13529	yqaA	P0ADR0	g1789045	Required for swarming phenotype, inner membrane protein, COG1238 family, function unknown
EG13530	yqaB	P77475	g1789046	Fructose-1-P and 6-phosphogluconate phosphatase; physiological role unknown; HAD6
EG13531	ybdL	P77806	g1786816	Methionine aminotransferase, PLP-dependent
EG13532	ybdM	P77174	g1786817	Function unknown
EG13533	ybdN	P77216	g1786818	Function unknown
EG13534	ybdO	P77746	g1786820	Required for swarming phenotype, function unknown; probable LysR-family transcriptional regulator
EG13535	dsbG	P77202	g87081762	Thiol:disulfide interchange protein, periplasmic; molecular chaperone; multicopy resistance to DTT; mutants accumulate reduced proteins
