# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
C823.04		Member of the DUF947 domain of unknown function family, has low similarity to uncharacterized mouse BC011248					SPAC823.04	conserved eukaryotic protein		Q9P6P2							
C186.07c		Protein containing D-isomer specific 2-hydroxyacid dehydrogenase catalytic and NAD binding domains, has low similarity to a region of 3-phosphoglycerate dehydrogenase (rat Phgdh), which catalyzes oxidation of 3-phosphoglycerate to 3-phosphohydroxypyruvate					SPAC186.07c	2-hydroxyacid dehydrogenase (predicted)		Q9P7P8							
C823.06		Protein containing a bromodomain-associated domain, which may bind DNA					SPAC823.06	transcription factor TFIID complex subunit Taf3		Q9P6P0							
C823.07		Member of the Per1-like family, which may be involved in protein processing, has low similarity to S. cerevisiae Per1p, which is involved in Mn2+ homeostasis					SPAC823.07	Per1 family		Q9P6N9							
C7D4.13c		Protein of unknown function					SPAC7D4.13c	sequence orphan		O14268							
C28F2.08c		Protein with weak similarity to C. elegans SEL-1, which negatively influences C. elegans LIN-12 and C. elegans GLP-1 signaling perhaps by regulating turnover and plays roles in vulval development and gametogenesis					SPBC28F2.08c	SEL1 repeat protein		Q9USV0							
sap61		Protein with low similarity to C. elegans PHI-8, which is involved in reproduction, embryogenesis, and vulva development					SPBC36.09	zinc finger protein		O59706							
pyk1	EC2.7.1.40	Pyruvate kinase, catalyzes the final step in glycolysis					SPAC4H3.10c	pyruvate kinase (predicted)		Q10208							
sap62		Protein with high similarity to C. elegans F11A10.2, which is involved in embryonic development					SPBC21C3.05	zinc finger protein		Q9P7L8							
C1A6.02		Protein containing four WD domain G-beta repeats, has low similarity to uncharacterized C. neoformans Cna03780_D					SPAC1A6.02	WD repeat protein,  SPAC23C4.21		O13856							
C1795.01c		Protein required for the Mad2p-dependent spindle checkpoint pathway, possibly to signal the cyclosome or anaphase-promoting complex (APC) to delay anaphase					SPCC1795.01c	mitotic spindle checkpoint component Mad3,  SPCC895.02		O59767							
rpl13		60S ribosomal protein L13					SPAC664.05	60S ribosomal protein L13		O74175							
rpl14		60S ribosomal protein L14					SPAC1805.13	60S ribosomal protein L14		O94238							
C890.01c		Member of the TBC domain containing family, which may be GTPase activators of Rab-like small GTPases, has a region of low similarity to a region of S. cerevisiae Gyp1p, which is a GTPase-activating protein for S. cerevisiae Ypt1p and S. cerevisiae Sec4p					SPAC1952.17c	GTPase activating protein,  SPAC890.01c									
rpl15		60S ribosomal protein L15					SPCC576.11	60S ribosomal protein L15		O74895							
C1296.01c	EC5.4.2.3	Protein with high similarity to phosphoglucomutase 3 (human PGM3), member of the phosphoglucomutase or phosphomannomutase C-terminal domain containing family, contains phosphoglucomutase or phosphomannomutase alpha-beta-alpha domains I and II					SPAC1296.01c	phosphoacetylglucosamine mutase (predicted),  SPAC22F3.01		Q09770							
C25D12.06		Protein of unknown function					SPBC25D12.06	RNA helicase (predicted)		O74356							
C21D10.06c		Protein of unknown function, has moderate similarity to uncharacterized S. pombe Spap11E10.02cp					SPBC21D10.06c	glycoprotein (predicted)		O74346							
C25D12.01c		Protein of unknown function, appears to localize to the nucleolar region					SPBC19F5.05c	ppp1,  pescadillo-family,  SPBC25D12.01c		O60164							
C23C11.01		Protein of unknown function, has low similarity to uncharacterized C. albicans Orf19.698p and S. cerevisiae Yil090w protein/Ice2p that functions in assembly/maintenance of the cortical ER tubular network					SPAC23C11.01	ER membrane protein		O13909							
rpl17		60S ribosomal protein L17A					SPBC2F12.04	60S ribosomal protein L17,  rpl17,  rpl17-1,  obsolete:SPCC2F12.04		O14339							
C1A6.07		Protein of unknown function, has a region of low similarity to a region of S. cerevisiae Pan1p, which is involved in actin polymerization and endocytosis					SPAC1A6.07	proline-rich protein		O13858							
C23C11.03		Protein with low similarity to S. cerevisiae Mpp10p, which is a component of U3 snoRNP and is required for pre-18S rRNA processing, member of the Mpp10 protein family					SPAC23C11.03	U3 snoRNP component (predicted)		O13910							
C1281.03c		Member of the DUF1077 domain of unknown function family, has moderate similarity to uncharacterized S. cerevisiae Ygl231p					SPCC1281.03c	conserved eukaryotic protein		O94520							
rpl38-1		60S ribosomal protein L38A					SPBC577.02	60S ribosomal protein L38,  rpl38-1		Q9USR7							
rpl38-2		60S ribosomal protein L38B					SPAC30D11.12	60S ribosomal protein L38,  rpl38-2,  rps38		Q09900							
C23C11.07		Protein of unknown function					SPAC23C11.07	sequence orphan		O13913							
C23C11.09	EC6.1.1.7	Protein with high similarity to alanyl-tRNA synthetase (S. cerevisiae Ala1p), which is involved in protein synthesis, member of the class II alanyl (A)-tRNA synthetase and DHH-associated (DHHA1) domain families					SPAC23C11.09	alanine-tRNA ligase (predicted)		O13914							
C23D3.14c	EC3.2.1.1	Protein containing one alpha amylase N-terminal catalytic domain, which degrade branched and unbranched starches, has moderate similarity to uncharacterized S. pombe SPCC63.02cp					SPAC23D3.14c	alpha-amylase (predicted)		Q09840							
C21B10.02		Protein of unknown function					SPBC21B10.02	sequence orphan		Q9USW0							
C17G9.04c		Essential nucleoporin that forms a subcomplex with Seh1p, Nup120p, and Nup189p that functions in nuclear pore distribution, mRNA export, and cell division, has weak similarity to S. cerevisiae Nup85p					SPBC17G9.04c	nucleoporin		Q9UUE5							
C21B10.07		Protein containing a glycosyl hydrolase family 16 domain, has low similarity to uncharacterized C. neoformans Cnj03020_D					SPBC21B10.07	glycosyl hydrolase family 16		Q9USW3							
C17D1.03c		Protein containing 3' exoribonuclease family domains 1 and 2, has moderate similarity to exosome component 8 (opa-interacting protein 2, human EXOSC8), which interacts with opacity-associated proteins on Neisseria gonorrhoeae outer membranes					SPBC17D1.03c	exosome (RNase complex) subunit (predicted)		Q10205							
C823.11		Member of the phosphatidic acid phosphatase-related (PAP2) phosphoesterase family, has low similarity to sphingoid base-phosphate phosphatase (S. cerevisiae Ysr3p), which is a putative regulator of sphingolipid metabolism and stress response					SPAC823.11	sphingosine-1-phosphate phosphatase activity (predicted)		Q9P6N5							
pgr1: pi039		Glutathione reductase					SPBC17A3.07	glutathione reductase,  obsolete:pi039		P78965							
C823.12		Protein with weak similarity to C. albicans Vsp11p, which is required for normal vacuole structure and function					SPAC823.12	zinc finger protein		Q9P6N4							
rec10		Protein with roles in meiotic recombination and chromosome segregation, localizes to linear elements in meiotic nuclei during prophase					SPAC25G10.04c	meiotic recombination protein Rec10p		Q09823							
rcd1		Protein that is required for cell differentiation					SPAC29B12.06c	RNA binding protein Rcd1		Q92368							
C21B10.09		Protein with moderate similarity to human SLC33A1, which is an acetyl-CoA transporter that transports acetyl-CoA from the cytosol to the Golgi apparatus lumen and is involved in the O-acetylation of gangliosides					SPBC21B10.09	acetyl-CoA transporter (predicted)		Q9USW4							
rec11		Protein involved in meiotic recombination and chromosome segregation					SPCC4E9.01c	region specific activator of recombination Rec11p,  SPCC550.16c		Q92380							
C823.14		Protein of unknown function, has high similarity to uncharacterized C. albicans Orf19.2269p					SPAC823.14	phosphatase (predicted)		Q9P6N2							
C186.08c	EC1.1.1.27	Member of the lactate-malate dehydrogenase NAD binding domain containing family, contains an alpha-beta C-terminal domain, has moderate similarity to lactate dehydrogenase heart subunit (human LDHB), which is linked to lactate dehydrogenase B deficiency					SPAC186.08c	L-lactate dehydrogenase (predicted)		Q9P7P7							
rec12		Protein required for meiotic recombination					SPAC17A5.11	endonuclease Rec12p		P40384							
C1677.01c		Protein containing a domain of unknown function (DUF323)					SPBC1604.01	SPBC1677.01c		O94632							
rec14		Protein involved in meiotic recombination					SPBC32F12.02	WD repeat protein		Q09150							
C7D4.14c		Protein of unknown function					SPAC7D4.14c	sequence orphan		O14269							
rec15		Protein involved in meiotic recombination					SPBC1711.14	meiotic recombination prtoein Rec15		Q09094							
C16C4.16c		Protein of unknown function					SPCC16C4.16c	conserved fungal protein		O74460							
C8E4.10c		Protein containing a Class II aldolase domain, has moderate similarity to a region of alpha adducin (human ADD1), which is a subunit of the membrane-skeletal adducin complex that may promote assembly of spectrin-actin complexes and regulate ion transport					SPBC1289.14	adducin N-terminal domain protein,  SPBC8E4.10c		O42892							
C1A6.11		Protein of unknown function					SPAC1A6.11	dubious		Q9C114							
rpl21		60S ribosomal protein L21A					SPBC365.03c	60S ribosomal protein L21,  rpl21,  rpl21-1		Q9UUC1							
rpl22		60S ribosomal protein L22					SPAC11E3.15	60S ribosomal protein L22,  SPAP8A3.01		Q09668							
sft2		Member of the SFT2-like protein family, which may be transmembrane proteins, has moderate similarity to S. cerevisiae Sft2p, which is a membrane protein required for endoplasmic reticulum to Golgi transport					SPAC1527.02	involved in intracellular protein transport		Q9P6K1							
rpl24		60S ribosomal protein L24A					SPAC6G9.09c	60S ribosomal protein L24									
C23C11.10		Protein of unknown function					SPAC23C11.10	conserved eukaryotic protein		O13915							
rpl26		60S ribosomal protein L26					SPBC29B5.03c	60S ribosomal protein L26		P78946							
C25D12.02c		Protein of unknown function					SPBC25D12.02c	sequence orphan		O74354							
C23C11.12		Component of the APC/cyclosome complex					SPAC23C11.12	anaphase-promoting complex (APC)		O13916							
rpl29		60S ribosomal protein L29					SPBC776.01	60S ribosomal protein L29		Q92366							
C23C11.14		Transporter involved in metal homeostasis, member of the cation diffusion facilitator family (CDF)					SPAC23C11.14	CDF metal cation transporter,  obsolete:zhf		O13918							
C4G3.12C		Protein containing a C3HC4 type (RING) zinc finger, which may mediate protein-protein interactions, has weak similarity to uncharacterized C. neoformans Cng00540_D					SPCC4G3.12c	zinc finger protein		P87237							
C23C11.17		Member of the LETM1-like protein family, has moderate similarity to S. cerevisiae Ypr125p, which interacts with mitochondrial ribosomes and is involved in transport of cytochrome b and Atp6p across the mitochondrial inner membrane					SPAC23C11.17	conserved eukaryotic protein		O13920							
C21B10.11		Member of the dolichol phosphate-mannose biosynthesis regulatory protein (DPM2) family					SPBC21B10.11	dolichol-phosphate mannosyltransferase (regulatory subunit) (predicted)		Q9USW6							
wtf4: wtf13		Member of the WTF protein family, has strong similarity to uncharacterized S. pombe Wtf13p					SPCC548.03c	wtf element,  SPCC548.03,  obsolete:wtf13									
C7D4.15c		Protein of unknown function					SPAC7D4.15c	oligosaccharyltransferase subunit (predicted)		Q96VG2							
C1A6.01c		Protein containing a putative C2HC5-type zinc finger motif, has a region of low similarity to a region of thyroid hormone receptor interactor 4 (human TRIP4), which is a transcriptional coactivator that binds to transcription factors and nuclear receptors					SPAC1A6.01c	zinc finger protein,  SPAC23C4.20c		O13855							
hsp9		Heat shock-induced protein					SPAP8A3.04c	heat shock protein,  scf1		P50519							
C317.01		MADS-box transcription factor 2, protein required for biosynthesis of pyruvylated galactomannans					SPBC317.01	MADS-box transcription factor Pvg4,  pvg4		Q9HGP0							
C902.02c		Chromosome transmission fidelity 18, a protein that forms an alternative Replication Factor C (RFC) complex, Ctf18p - RFC is essential for viability in cells with compromised Rfc1p - RFC					SPBC902.02c	DNA replication factor C complex subunit Ctf18,  chl12		Q9USQ1							
C1685.07c		Member of the transmembrane amino acid transporter (permease) family, has moderate similarity to S. cerevisiae Avt6p, which is membrane transporter involved in the efflux of glutamine and aspartate from the vacuole					SPBC1685.07c	amino acid transporter (predicted)		O74327							
rpl31		Protein with high similarity to S. cerevisiae Rpl31Bp, which is ribosomal protein L31 (yeast L34, YL36, YL28, rat L31) and nearly identical to Rpl31Ap, member of the ribosomal protein L31e family					SPAC890.08	60S ribosomal protein L31		Q9URX6							
rpl34		60S ribosomal protein L34A					SPAC23A1.08c	60S ribosomal protein L34,  rpl34,  rpl34-1		O42846							
rpl35		60S ribosomal protein L35					SPCC613.05c	60S ribosomal protein L35		O74904							
C13G6.03		Protein with low similarity to S. cerevisiae Las21p, which is required for addition of a side chain to the glycosylphosphatidylinositol (GPI) core structure					SPAC13G6.03	gpi7,  phosphoethanolamine N-methyltransferase activity (predicted)		Q09782							
abp1		Protein required for normal mitotic and meiotic chromosome segregation that binds to centromeric DNA sequences, promotes heterochromatin-specific histone tail modifications at the centromere, and is redundant with Cbh1p, Cbh2p					SPBC1105.04c	ARS binding protein,  abp1		P49777							
C21D10.08c		Protein of unknown function					SPBC21D10.08c	sequence orphan		O74348							
abp2		ARS-binding protein 2, origin-binding protein involved in DNA replication					SPBC1861.02	ARS binding protein		Q9USY4							
rpl37		60S ribosomal protein L37					SPAPB17E12.05	60S ribosomal protein L37,  rpl37		P59289							
rpl39		60S ribosomal protein L39					SPCC663.04	60S ribosomal protein L39		P05767							
gpa1		Guanine nucleotide-binding protein alpha-1 subunit, required for mating and sporulation					SPBC24C6.06	GTP binding (alpha-1 subunit)		P27584							
C13G6.08		Protein containing five WD domains (WD-40 repeats), which may mediate protein-protein interactions, has low similarity to S. pombe Slp1p, which functions in the spindle defect checkpoint and interacts with S. pombe Mad2p					SPAC13G6.08	WD repeat protein		Q09786							
C13G6.09		Protein containing a programmed cell death protein 2 C-terminal domain					SPAC13G6.09	zinc finger protein		Q09787							
C4G3.13C		Member of the CUE domain family, which bind ubiquitin-conjugating enzymes					SPCC4G3.13c	CUE domain protein		P87238							
C17G9.06c		Protein of unknown function					SPBC17G9.06c	acetyltransferase (predicted)		Q9UUE3							
C1677.03c	EC4.3.1.19	Protein with high similarity to serine and threonine dehydratase (anabolic) (S. cerevisiae Ilv1p), which acts in isoleucine biosynthesis, member of the pyridoxal phosphate dependent enzyme beta family, contains two threonine dehydratase C-terminal domains					SPBC1677.03c	threonine ammonia-lyase		O94634							
b22918-1		Protein of unknown function, has moderate similarity to uncharacterized S. pombe Spac14c4.04p					SPAC18G6.12c	B22918-1,  B22918 domain		Q10111							
b22918-2		Protein of unknown function, has moderate similarity to uncharacterized S. pombe Spac18g6.12cp					SPAC14C4.04	B22918-2,  hypothetical protein		O13711							
C1703.02		Protein containing an ARID (AT-Rich Interaction Domain) DNA binding domain					SPBC1703.02	ARID domain		Q9P7W8							
C418.01c	EC2.4.2.-;EC5.3.1.16	Protein with high similarity to S. cerevisiae His7p, which catalyzes two steps in histidine synthesis, member of the SNO glutamine amidotransferase and the histidine biosynthesis protein families, contains a glutamine amidotransferase class-I domain					SPBC418.01c	SPBC887.20c		O94303							
C8F11.02c		Protein with high similarity to S. cerevisiae Kti11p, which is involved in susceptibility to zymocin toxin, contains a CSL zinc finger domain					SPAC8F11.02c	zinc finger protein		Q9UT33							
C1703.04		Protein involved in DNA mismatch repair					SPBC1703.04	MutL family		Q9P7W6							
C16C4.18c		Probable component of the TFIID complex and a SAGA-like complex					SPCC16C4.18c	histone H4-like TAF		O74462							
C1703.05		Protein with high similarity to S. cerevisiae Rio2p, which is an essential protein kinase required for 20S rRNA processing and 40S ribosomal subunit maturation, member of the uncharacterized RIO1-ZK632.3-MJ0444 family					SPBC1703.05	RIO1 domain		Q9P7W5							
C1703.06		F-box protein, probable component of the SCF ubiquitin ligase complex, may be involved in targeting proteins for degradation					SPBC1703.06	F-box protein		Q9P7W4							
C1703.07	EC2.3.3.8	Probable ATP citrate lyase					SPBC1703.07	ATP citrate synthase (subunit 1) (function of complex) (predicted)		Q9P7W3							
C1703.09		Protein of unknown function					SPBC1703.09	coiled-coil (region) (predicted)		Q9P7W1							
C1795.04c	EC3.4.25.1	Putative proteasome component					SPCC1795.04c	20S proteasome component (alpha 7)		O59770							
C21D10.09c		Protein containing a C3HC4 type (RING) zinc finger, which may mediate protein-protein interactions, has weak similarity to uncharacterized S. cerevisiae Ymr247p					SPBC21D10.09c	zinc finger protein		O74349							
C1281.06c		Protein with high similarity to stearoyl-CoA desaturase (S. cerevisiae Ole1p), which is required for synthesis of unsaturated fatty acids, contains a fatty acid desaturase domain and a cytochrome b5-like heme or steroid binding domain					SPCC1281.06c	acyl-coA desaturase (predicted)		O94523							
C521.04c		Member of the sodium or calcium exchanger protein family of membrane transporters, contains a domain of unknown function (DUF307), has a region of weak similarity to S. cerevisiae Vcx1p, which is a H+/Ca2+ exchange protein of the vacuolar membrane					SPAC521.04c	calcium permease (predicted)		Q9P7B3							
cgs2: pde1	EC3.1.4.17	3',5'-cyclic-nucleotide phosphodiesterase I homolog, required for regulation of cAMP levels and for entry into G0 phase and meiosis					SPCC285.09c	cAMP-specific phosphodiesterase,  pde1		P36599							
P31B10.03c		Protein involved in mating, sporulation, and septation					SPCP31B10.03c	mediator complex subunit,  soh1,  sep10		Q9USH1							
prp1: zer1		Pre-mRNA processing 1, a component of pre-catalytic spliceosomal complexes, involved in pre-mRNA splicing, nuclear export, and possibly cell cycle control					SPBC6B1.07	TPR repeat protein,  zer1		Q12381							
C1703.11		Member of the optic atrophy 3 protein (OPA3) family					SPBC1703.11	conserved eukaryotic protein		Q9P7W0							
pop2: sud1		F-box/WD-repeat component of the Skp1-Cullin-1-F-box (SCF) complex involved in regulated degradation of Cdc18p and Rum1p					SPAC4D7.03	F-box protein,  sud1		O14170							
C1703.12		Member of the ubiquitin carboxyl-terminal hydrolase family, which are cysteine proteases involved in deubiquitination, has low similarity to ubiquitin-specific protease 3 (human USP3), which removes ubiquitin from ubiquitin-conjugated proteins					SPBC1703.12	ubp9,  ubiquitin C-terminal hydrolase activity		Q9P7V9							
C1A6.03c	EC3.1.1.5	Member of the lysophospholipase catalytic domain containing family, has moderate similarity to phospholipase B (S. pombe Plb1p), which preferentially deacylates phosphatidylinositol					SPAC1A6.03c	phospholipase (predicted)		O13857							
C1795.05c	EC2.7.4.-	Putative uridylate kinase					SPCC1795.05c	uridylate kinase		O59771							
prp11		DEAD/DEAH box RNA helicase					SPCC10H11.01	DEAD/DEAH box helicase		Q9P7C7							
C1296.05c		Protein containing a cyclin N-terminal domain, has low similarity to a region of cyclin C (human CCNC), which is a G1-specific cyclin that acts in transcription, cell adhesion, and cell proliferation and may be associated with lymphoid malignancies					SPAC1296.05c	cyclin		O94612							
C4F11.05		Protein of unknown function					SPCC4F11.05	dubious		Q9UT66							
prp16		Protein with high similarity to human DHX38, which is an RNA helicase, member of the helicase conserved C-terminal domain containing and DUF1605 domain of unknown function families, contains a helicase associated (HA2) and a DEAD/DEAH box helicase domain					SPBC1711.17	ATP-dependent,  SPBC17G9.01		Q9P774							
C2C4.04c		Protein of unknown function, has high similarity to uncharacterized S. cerevisiae Ykr074p					SPAC2C4.04c	conserved eukaryotic protein		O14037							
prp17		Protein containing six WD domains (WD-40 repeat), which may mediate protein-protein interactions, has moderate similarity to C. elegans F49D11.1, which is a putative splicing factor that is required for embryonic development					SPBC6B1.10	WD repeat protein		O43071							
C1281.07c		Protein with high similarity to S. cerevisiae Ecm4p, which may be involved in cell wall structure or biosynthesis					SPCC1281.07c	glutathione S-transferase (predicted)		O94524							
prp18		Nuclear protein that may play a role in mRNA splicing					SPCC126.14	U5 snRNP protein Prp18		O94406							
C631.01c		Actin capping protein that binds the barbed ends of actin filaments and inhibits polymerization and depolymerization, member of the F-actin capping protein beta subunit family					SPAC631.01c	F-actin capping protein (beta subunit) (predicted)		Q9HGP5							
C132.01c		Protein containing a DUF814 domain of unknown function, which are found in putative fibronectin or fibrinogen binding protein, has low similarity to uncharacterized serologically defined colon cancer antigen 1 (New York colon 1, human SDCCAG1)					SPCC132.01c	conserved eukaryotic protein,  SPCC1322.17c		Q9USN8							
C23B6.06		Putative RNA 3'-exoribunuclease					SPCC1322.01	3'-5' exonuclease for RNA 3' ss-tail,  SPCC23B6.06		O94541							
C17D1.07c		Protein containing a calponin homology (CH) domain, which bind actin, has a region of low similarity to a region of S. pombe Rng2p, which is an essential calmodulin-binding component of the actomyosin contractile ring that forms during cytokinesis					SPBC17D1.07c	calcium binding protein		Q10201							
P24D3.01		Protein containing a fungal Zn(2)-Cys(6) binuclear cluster domain, which act as transcriptional regulators, and a fungal specific transcription factor domain, has high similarity to uncharacterized S. pombe Spbc1773.16cp					SPAPB24D3.01	transcription factor (predicted),  SPAPB2C8.02									
mob1		Essential protein involved in cytokinesis and septum formation					SPBC428.13c	maintenance of ploidy protein Mob1		O94360							
mob2		Protein required for cell cycle regulation and polarized growth					SPCC970.04c	Mob1/phocein family		O74558							
C902.05c	EC1.1.1.41	Probable NAD-specific isocitrate dehydrogenase subunit 2, mitochondrial precursor					SPBC902.05c	isocitrate dehydrogenase (NAD+) subunit 2,  glu2		Q9USP8							
C1A6.04c	EC3.1.1.5	Phospholipase B, preferentially deacylates phosphatidylinositol					SPAC1A6.04c	phospholipase B homolog Plb1		P78854							
agl	EC3.2.1.20	Secreted alpha-glucosidase					SPAPB24D3.10c	alpha-glucosidase,  agl		Q9C0Y4							
pyp1	EC3.1.3.48	Protein-tyrosine phosphatase that acts on the MAP kinase Sty1p and negatively regulates mitosis					SPAC26F1.10c	phosphoprotein phosphatase activity		P27574							
pyp2	EC3.1.3.48	Protein tyrosine phosphatase that is partly redundant with Pyp1p in the dephosphorylation of Sty1p, involved in cell cycle control					SPAC19D5.01	serine/threonine protein phosphatase		P32586							
pyp3	EC3.1.3.48	Tyrosine protein phosphatase that regulates the mitotic cyclin dependent kinase Cdc2p					SPAC11E3.09	protein-tyrosine phosphatase Pyp3		P32587							
prp22		Protein with high similarity to human DHX8, member of the helicase conserved C-terminal domain containing and DUF1605 domain of unknown function families, contains a helicase associated (HA2), an S1 RNA binding, and a DEAD/DEAH box helicase domain					SPAC10F6.02c	ATP-dependent RNA helicase Prp22		O42643							
rps11-1		40S ribosomal protein S11					SPAC31G5.03	40S ribosomal protein S11,  rps11-1		P79013							
C19B12.11c		Protein of unknown function, has high similarity to a region of S. cerevisiae Bud20p, which is a putative nuclear pore protein involved in bud site selection in diploids					SPAC19B12.11c	zinc finger protein		Q9P370							
rps9-1: rps9a		40S ribosomal protein S9A/S9.1					SPAC24H6.07	40S ribosomal protein S9,  rps9-1,  rps9a		Q09757							
rps11-2		Protein with high similarity to S. cerevisiae Rps11Ap, which is ribosomal protein S11 (yeast S18, YS12, rp41, E. coli S17, human and rat S11) that is identical to Rps11Bp, contains a ribosomal protein S17 domain					SPAC144.11	40S ribosomal protein S11,  rps11-2,  rps11		P79013							
gpd1	EC1.1.1.8	NADH-dependent glycerol-3-phosphate dehydrogenase, involved in the production of glycerol in response to high osmolarity					SPBC215.05	glycerol-3-phosphate dehydrogenase Gpd1		P21696							
prp28		Member of the helicase conserved C-terminal domain containing family, contains a DEAD/DEAH box helicase domain, has moderate similarity to C. elegans F01F1.7, which is involved in physiological processes and embryogenesis					SPCC63.11	DEAD/DEAH box helicase		Q9Y7T7							
gpd2		Glycerol-3-phosphate dehydrogenase					SPAC23D3.04c	glycerol-3-phosphate dehydrogenase Gpd2		Q09845							
gpd3	EC1.2.1.12	Protein with high similarity to glyceraldehyde-3-phosphate dehydrogenase (mouse Loc14433), which acts in oxidation and phosphorylation during glycolysis and in apoptosis, contains glyceraldehyde 3-phosphate dehydrogenase C-terminal and NAD binding domains					SPBC354.12	glyceraldehyde 3-phosphate dehydrogenase		O43026							
meu10		Protein required for proper spore wall formation, transcription is induced during meiosis					SPCC1223.12c	GPI anchored protein (pers. comm. Birgit Eisenhaber)		O74411							
C4G3.15c		Member of the NOT2, NOT3 and NOT5 family, which are negative regulators of transcription, has moderate similarity to S. cerevisiae Cdc36p, which is a negative regulator of basal transcription and part of the CCR4 transcription complex					SPCC4G3.15c	CCR4-Not complex (predicted)		P87240							
C20H4.05c		Protein containing a Class II aldolase domain, has moderate similarity to APAF1 interacting protein (mouse Apip), which is a putative antiapoptotic protein that inhibits muscle ischemic damage					SPAC20H4.05c	phosphate epimerase (predicted)		Q9HE08							
meu13		Meiosis-specific protein required for proper homologous chromosome pairing and recombination					SPAC222.15	meiotic expression upregulated,  SPAC821.01		Q9HGK2							
meu14		Protein required for formation of the spore wall, specifically expressed during meiosis					SPBC1347.03	meiotic expression upregulated									
meu15		Protein of unknown function					SPCPJ732.03	meiotic expression upregulated		Q96WS6							
meu16							SPNCRNA.18	non-coding RNA (predicted),  prl18									
meu17		Member of the glycosyl hydrolase 15 family, which catalyze the release of D-glucose from non-reducing ends polysaccharides, has low similarity to S. cerevisiae Sga1p, which is a glucoamylase					SPBC14C8.05c	glucoamylase		O60087							
meu18		Putative membrane protein, mRNA abundance increases during meiosis					SPBC409.11	NLS (predicted)		Q9UUB3							
meu19							SPNCRNA.29	non-coding RNA (predicted),  prl29									
cbh2		DNA binding protein that may be involved in chromosome segregation, has a minor role in heterochromatin-specific histone tail modifications at the centromere, redundant with Cbh2p and Cbp1p					SPBC14F5.12c	centromere binding protein Cbh2		O60108							
gar1		Small nucleolar protein required for pre-rRNA processing					SPBC20F10.01	snoRNP pseudouridylase complex protein Gar1,  SPBC25H2.01c		Q06975							
gar2		Protein involved in the assembly of pre-ribosomal particles					SPAC140.02	GAR family		P41891							
hst4		Protein involved in transcriptional silencing and centromere function					SPAC1783.04c	Sir2 family histone deacetylase Hst4									
C1739.01		Member of the zinc finger C-x8-C-x5-C-x3-H type (and similar) family, which bind DNA or RNA, has low similarity to uncharacterized S. pombe Scp3p					SPCC1739.01	zinc finger protein,  SPCC1906.05		O74463							
C8F11.05c		Protein of unknown function					SPAC8F11.05c	sequence orphan		Q9UT31							
C1739.03		Putative RNA helicase required for RNAi-mediated centromeric gene silencing, component of RNA-directed RNA polymerase complex (Rdr1p, Hrr1p, Cid12p)					SPCC1739.03	Helicase Required for RNAi-mediated heterochromatin assembly Hrr1		O74465							
C1A6.05c		Member of the patatin family, which are storage proteins that may also catalyze the cleavage of fatty acids from membrane lipids, has low similarity to uncharacterized S. pombe Spcc1450.16cp					SPAC1A6.05c	phospholipase (predicted)		Q9Y827							
C1739.05		Protein of unknown function					SPCC1739.05	SET domain		O74467							
C1739.07		Essential condensin-interacting protein that supports Cnd2p function in DNA repair					SPCC1739.07	substrate-specific nuclear cofactor for exosome activity (predicted)		O74469							
C1002.10c		Member of the SGT1 protein family, has low similarity to suppressor of S. cerevisiae gcr2 (human HSGT1), which is a general regulator of glycolytic gene expression that interacts with S. cerevisiae Gcr1p, may function as a transcriptional activator					SPAC1002.10c	conserved eukaryotic protein		Q9US49							
prp31		Pre-mRNA processing 31, a pre-mRNA splicing factor required for both meiotic and vegetative growth, component of pre-catalytic spliceosomal complexes					SPBC119.13c	U4/U6 x U5 tri-snRNP complex subunit Prp31		O42904							
C890.07c	EC2.1.1.-	Protein with high similarity to S. cerevisiae Hmt1p, which is a protein arginine methyltransferase					SPAC890.07c	type 1 arginine N-methyltransferase Rmt1,  prmt1		Q9URX7							
C36.01c		Member of the sugar (and other) transporter family and the major facilitator superfamily, has moderate similarity to C. albicans Tpo1p, which is a membrane transporter that confers resistance to mycophenolic acid					SPBC36.01c	membrane transporter		Q9UU38							
PB18E9.01		Member of the Met-10+-like protein family, which may act in methionine biosynthesis, transport or utilization, has moderate similarity to tRNA-(N1G37) methyltransferase 5 (human TRMT5), which is a tRNA-N(1)G37 methyltransferase also methylating inosine					SPAPB18E9.01	tRNA (guanine) methyltransferase activity		Q8TFG7							
pcu1		Cullin, component of the Skp1-Cullin-1-F-box (SCF) complex					SPAC17G6.12	cullin 1,  pcu1		O13790							
PB18E9.02		Protein containing a protein kinase domain, has low similarity to S. cerevisiae Rim15p, which is a serine-threonine protein kinase and a positive regulator of S. cerevisiae Ime2p expression and of sporulation					SPAPB18E9.02c	serine/threonine protein kinase (predicted)		Q8TFG6							
C19B12.12c		Protein that may be involved in mRNA metabolism or pre-mRNA splicing, identical to S. pombe Yip1-ap					SPAC19B12.12c	SMN family,  yip1,  yip1-a									
PB18E9.03		Protein of unknown function					SPAPB18E9.03c	dubious		Q8TFG5							
pcu3		Cullin 3, homolog of human CUL3					SPAC24H6.03	cullin 3,  pcu3		Q09760							
