CG6883	FBan0006883	FBgn0003749	trh	trachealess	FBgn0010944,FBgn0026793
CG33804		FBgn0053804	His1:CG33804	His1:CG33804	
CG33806		FBgn0053806	His3:CG33806	His3:CG33806	
CG33807		FBgn0053807	His1:CG33807	His1:CG33807	
CG33808		FBgn0053808	His2A:CG33808	His2A:CG33808	
CG33809		FBgn0053809	His3:CG33809	His3:CG33809	
CG1620	FBan0001620	FBgn0033183	CG1620	CG1620	
CG1621	FBan0001621	FBgn0033182	CG1621	CG1621	
CG1622	FBan0001622	FBgn0030468	CG1622	CG1622	
CG1623	FBan0001623	FBgn0033448	CG1623	CG1623	
CG3081	FBan0003081	FBgn0025613	CG3081	CG3081	
CG3082	FBan0003082	FBgn0021979	l(2)k09913	lethal (2) k09913	
CG1624	FBan0001624	FBgn0015930	dpld	dappled	FBgn0033181
CG3083	FBan0003083	FBgn0031479	Prx6005	Peroxiredoxin 6005	
CG1625	FBan0001625	FBgn0033447	CG1625	CG1625	
CG3085	FBan0003085	FBgn0034816	CG3085	CG3085	FBgn0044759
CG3086	FBan0003086	FBgn0013987	MAPk-Ak2	MAP kinase activated protein-kinase-2	FBgn0029802
CG1628	FBan0001628	FBgn0030218	CG1628	CG1628	
CG1629	FBan0001629	FBgn0039896	yellow-h	yellow-h	
CG2358	FBan0002358	FBgn0026567	CG2358	CG2358	FBgn0027919
CG3088	FBan0003088	FBgn0036015	CG3088	CG3088	
CG33810		FBgn0053810	His1:CG33810	His1:CG33810	
CG33812		FBgn0053812	His3:CG33812	His3:CG33812	
CG33813		FBgn0053813	His1:CG33813	His1:CG33813	
CG18505	FBan0018505	FBgn0038363	Acyp2	Acylphosphatase 2	
CG33814		FBgn0053814	His2A:CG33814	His2A:CG33814	
CG18506	FBan0018506	FBgn0035079	CG18506	CG18506	
CG33815		FBgn0053815	His3:CG33815	His3:CG33815	
CG18507	FBan0018507	FBgn0028527	CG18507	CG18507	FBgn0032531
CG33816		FBgn0053816	His1:CG33816	His1:CG33816	
CG33817		FBgn0053817	His2A:CG33817	His2A:CG33817	
CG18508	FBan0018508	FBgn0028746	CG18508	CG18508	FBgn0041573,FBgn0042220
CG33818		FBgn0053818	His3:CG33818	His3:CG33818	
CG33819		FBgn0053819	His1:CG33819	His1:CG33819	
CG1630	FBan0001630	FBgn0030471	IP3K2	Inositol 1,4,5-triphosphate kinase 2	
CG2360	FBan0002360	FBgn0004783	Ccp84Aa	Ccp84Aa	
CG1631	FBan0001631	FBgn0031101	CG1631	CG1631	
CG3090	FBan0003090	FBgn0005612	Sox14	Sox box protein 14	FBgn0034949
CG1632	FBan0001632	FBgn0030027	CG1632	CG1632	
CG3091	FBan0003091	FBgn0029608	CG3091	CG3091	
CG1633	FBan0001633	FBgn0040309	Jafrac1	thioredoxin peroxidase 1	FBgn0030472
CG1634	FBan0001634	FBgn0002968	Nrg	Neuroglian	FBgn0004669,FBgn0027311,FBgn0040142,FBgn0040165
CG3092	FBan0003092	FBgn0034835	CG3092	CG3092	FBgn0044535
CG1635	FBan0001635	FBgn0039854	CG1635	CG1635	
CG3093	FBan0003093	FBgn0000482	dor	deep orange	
CG1636	FBan0001636	FBgn0030030	CG1636	CG1636	
CG1637	FBan0001637	FBgn0030245	CG1637	CG1637	
CG3095	FBan0003095	FBgn0001189	hfw	halfway	FBgn0023532
CG1638	FBan0001638	FBgn0039855	CG1638	CG1638	
CG3096	FBan0003096	FBgn0000216	Brd	Bearded	
CG1639	FBan0001639	FBgn0001491	l(1)10Bb	lethal (1) 10Bb	FBgn0027286
CG3097	FBan0003097	FBgn0029804	CG3097	CG3097	
CG2368	FBan0002368	FBgn0004399	psq	pipsqueak	FBgn0012047
CG3099	FBan0003099	FBgn0030145	CG3099	CG3099	
CG33820		FBgn0053820	His2A:CG33820	His2A:CG33820	
CR30200	FBan0030200	FBgn0050200	CR30200	CR30200	FBgn0060275
CR30201	FBan0030201	FBgn0050201	CR30201	CR30201	FBgn0060052
CG33821		FBgn0053821	His3:CG33821	His3:CG33821	
CR30202	FBan0030202	FBgn0050202	CR30202	CR30202	FBgn0060053
CG33822		FBgn0053822	His1:CG33822	His1:CG33822	
CG33823		FBgn0053823	His2A:CG33823	His2A:CG33823	
CG33824		FBgn0053824	His3:CG33824	His3:CG33824	
CG33825		FBgn0053825	His1:CG33825	His1:CG33825	
CG18516	FBan0018516	FBgn0038350	CG18516	CG18516	
CG33826		FBgn0053826	His2A:CG33826	His2A:CG33826	
CR30206	FBan0030206	FBgn0050206	CR30206	CR30206	FBgn0060014
CG18518	FBan0018518	FBgn0028900	CG18518	CG18518	FBgn0032573
CR30207	FBan0030207	FBgn0011871	tRNA:G3:57BCa	transfer RNA:gly3:57BCa	FBgn0003783,FBgn0050207,FBgn0060227
CG33827		FBgn0053827	His3:CG33827	His3:CG33827	
CG18519	FBan0018519	FBgn0038348	CG18519	CG18519	
CR30208	FBan0030208	FBgn0050208	CR30208	CR30208	FBgn0060017
CG33828		FBgn0053828	His1:CG33828	His1:CG33828	
CR30209	FBan0030209	FBgn0050209	CR30209	CR30209	FBgn0060015
CG33829		FBgn0053829	His2A:CG33829	His2A:CG33829	
CG1640	FBan0001640	FBgn0030478	CG1640	CG1640	
CG1641	FBan0001641	FBgn0003411	sisA	sisterless A	
CG2371	FBan0002371	FBgn0030323	CG2371	CG2371	FBgn0030324,FBgn0030325
CG1643	FBan0001643	FBgn0029943	Atg5	Autophagy-specific gene 5	
CG1644	FBan0001644	FBgn0031182	Cyp6t1	Cyp6t1	
CG2374	FBan0002374	FBgn0016032	lbm	late bloomer	
CG1646	FBan0001646	FBgn0039600	CG1646	CG1646	
CG1647	FBan0001647	FBgn0039602	CG1647	CG1647	
CG1648	FBan0001648	FBgn0033446	CG1648	CG1648	
CR17875	FBan0017875	FBgn0038034	Cyp9f3&PSgr;	Cyp9f3&PSgr;	FBgn0061351
CR30210	FBan0030210	FBgn0011872	tRNA:G3:57BCb	transfer RNA:gly3:57BCb	FBgn0003783,FBgn0050210,FBgn0060228
CG33830		FBgn0053830	His3:CG33830	His3:CG33830	
CR30211	FBan0030211	FBgn0050211	CR30211	CR30211	FBgn0050146,FBgn0060012
CG18522	FBan0018522	FBgn0038347	CG18522	CG18522	
CG33831		FBgn0053831	His1:CG33831	His1:CG33831	
CG33832		FBgn0053832	His2A:CG33832	His2A:CG33832	
CR30212	FBan0030212	FBgn0050212	CR30212	CR30212	FBgn0050133,FBgn0060086
CG33833		FBgn0053833	His3:CG33833	His3:CG33833	
CG33834		FBgn0053834	His1:CG33834	His1:CG33834	
CR30214	FBan0030214	FBgn0011869	tRNA:G3:56EFa	transfer RNA:gly3:56EFa	FBgn0003782,FBgn0050137,FBgn0050214,FBgn0060216
CG18525	FBan0018525	FBgn0028984	Spn5	Serine protease inhibitor 5	FBgn0038298
CR30215	FBan0030215	FBgn0050215	CR30215	CR30215	FBgn0060194
CG33835		FBgn0053835	His2A:CG33835	His2A:CG33835	
CG33836		FBgn0053836	His3:CG33836	His3:CG33836	
CG33837		FBgn0053837	His1:CG33837	His1:CG33837	
CG18528	FBan0018528	FBgn0039189	CG18528	CG18528	
CG33838		FBgn0053838	His2A:CG33838	His2A:CG33838	
CR30218	FBan0030218	FBgn0050218	CR30218	CR30218	FBgn0011922,FBgn0060136
CG33839		FBgn0053839	His3:CG33839	His3:CG33839	
CG1650	FBan0001650	FBgn0015561	unpg	unplugged	FBgn0014101
CG2380	FBan0002380	FBgn0042696	NfI	Nuclear factor I	FBgn0039899
CG1651	FBan0001651	FBgn0011747	Ank	Ankyrin	
CG1652	FBan0001652	FBgn0040092	lectin-46Cb	lectin-46Cb	FBgn0033444
CG2381	FBan0002381	FBgn0039900	Syt7	Syt7	FBgn0039901
CG1655	FBan0001655	FBgn0030242	sofe	sister of feo	
CG1656	FBan0001656	FBgn0040093	lectin-46Ca	lectin-46Ca	FBgn0033445
CG1657	FBan0001657	FBgn0030286	CG1657	CG1657	
CG1659	FBan0001659	FBgn0025549	unc-119	unc-119	
CG17800	FBan0017800	FBgn0033159	Dscam	Down syndrome cell adhesion molecule	FBgn0004124,FBgn0010604
CG17801	FBan0017801	FBgn0038550	CG17801	CG17801	
CG18530	FBan0018530	FBgn0042207	CG18530	CG18530	FBgn0038066
CG33840		FBgn0053840	His1:CG33840	His1:CG33840	
CG17802	FBan0017802	FBgn0038549	CG17802	CG17802	
CG18531	FBan0018531	FBgn0027796	Gr2a	Gustatory receptor 2a	FBgn0029579
CR30220	FBan0030220	FBgn0050220	CR30220	CR30220	FBgn0060242
CG17803	FBan0017803	FBgn0038547	CG17803	CG17803	
CG33841		FBgn0053841	His2A:CG33841	His2A:CG33841	
CG33842		FBgn0053842	His3:CG33842	His3:CG33842	
CG33843		FBgn0053843	His1:CG33843	His1:CG33843	
CR30223	FBan0030223	FBgn0050223	CR30223	CR30223	FBgn0060208
CG33844		FBgn0053844	His2A:CG33844	His2A:CG33844	
CR30224	FBan0030224	FBgn0028981	tRNA:S4:56D	transfer RNA:ser4:56D	FBgn0011968,FBgn0011973,FBgn0011978,FBgn0050224,FBgn0060060
CG17806	FBan0017806	FBgn0038548	CG17806	CG17806	
CG17807	FBan0017807	FBgn0034748	CG17807	CG17807	
CR30225	FBan0030225	FBgn0050225	CR30225	CR30225	FBgn0012008,FBgn0060028
CG18536	FBan0018536	FBgn0034322	CG18536	CG18536	
CG33845		FBgn0053845	His3:CG33845	His3:CG33845	
CG18537	FBan0018537	FBgn0034323	CG18537	CG18537	
CG33846		FBgn0053846	His1:CG33846	His1:CG33846	
CG18538	FBan0018538	FBgn0034324	CG18538	CG18538	
CG33847		FBgn0053847	His2A:CG33847	His2A:CG33847	
CR30227	FBan0030227	FBgn0050227	CR30227	CR30227	FBgn0060011
CG18539	FBan0018539	FBgn0034325	CG18539	CG18539	
CR30228	FBan0030228	FBgn0011868	tRNA:G3:55E	transfer RNA:gly3:55E	FBgn0050228,FBgn0060218
CG33848		FBgn0053848	His3:CG33848	His3:CG33848	
CG33849		FBgn0053849	His1:CG33849	His1:CG33849	
CR30229	FBan0030229	FBgn0050229	CR30229	CR30229	FBgn0060166
CG1660	FBan0001660	FBgn0030480	Tim9a	Tim9a	
CG1662	FBan0001662	FBgn0030481	CG1662	CG1662	
CG1663	FBan0001663	FBgn0033449	CG1663	CG1663	
CG1664	FBan0001664	FBgn0003321	sbr	small bristles	FBgn0030236,FBgn0030238
CG1665	FBan0001665	FBgn0033451	CG1665	CG1665	
CG1666	FBan0001666	FBgn0001565	Hlc	Helicase	
CG1667	FBan0001667	FBgn0033453	CG1667	CG1667	
CG2397	FBan0002397	FBgn0033304	Cyp6a13	Cyp6a13	
CG1668	FBan0001668	FBgn0011280	Pbprp2	Pheromone-binding protein-related protein 2	FBgn0062913,FBgn0063177
CG1669	FBan0001669	FBgn0040513	&kgr;B-Ras	&kgr;B-Ras	FBgn0033172,FBgn0064816
CG18540	FBan0018540	FBgn0034326	CG18540	CG18540	
CG33850		FBgn0053850	His2A:CG33850	His2A:CG33850	
CR30231	FBan0030231	FBgn0050231	CR30231	CR30231	FBgn0050107,FBgn0060229
CG18542	FBan0018542	FBgn0037731	CG18542	CG18542	
CG33851		FBgn0053851	His3:CG33851	His3:CG33851	
CG18543	FBan0018543	FBgn0010431	mtrm	matrimony	
CG17814	FBan0017814	FBgn0040959	Peritrophin-15a	Peritrophin-15a	
CR30232	FBan0030232	FBgn0050232	CR30232	CR30232	FBgn0060274
CG33852		FBgn0053852	His1:CG33852	His1:CG33852	
CG33853		FBgn0053853	His2A:CG33853	His2A:CG33853	
CR30233	FBan0030233	FBgn0011879	tRNA:H:56E	transfer RNA:his:56E	FBgn0050233,FBgn0060273
CG17816	FBan0017816	FBgn0037525	CG17816	CG17816	
CG33854		FBgn0053854	His3:CG33854	His3:CG33854	
CR30234	FBan0030234	FBgn0050234	CR30234	CR30234	FBgn0060169
CG18545	FBan0018545	FBgn0037812	CG18545	CG18545	
CR30235	FBan0030235	FBgn0050235	CR30235	CR30235	FBgn0060167
CG33855		FBgn0053855	His1:CG33855	His1:CG33855	
CG18547	FBan0018547	FBgn0037973	CG18547	CG18547	
CR30236	FBan0030236	FBgn0011867	tRNA:G3:53E	transfer RNA:gly3:53E	FBgn0050236,FBgn0060217
CG17818	FBan0017818	FBgn0027872	rdgB&bgr;	rdgB&bgr;	
CG33856		FBgn0053856	His2A:CG33856	His2A:CG33856	
CG33857		FBgn0053857	His3:CG33857	His3:CG33857	
CG18548	FBan0018548	FBgn0042206	GstD10	Glutathione S transferase D10	FBgn0038019
CR30237	FBan0030237	FBgn0050237	CR30237	CR30237	FBgn0060102
CG17819	FBan0017819	FBgn0038915	CG17819	CG17819	FBgn0063100
CG33858		FBgn0053858	His1:CG33858	His1:CG33858	
CG18549	FBan0018549	FBgn0038053	CG18549	CG18549	
CR30238	FBan0030238	FBgn0050238	CR30238	CR30238	FBgn0011847
CR30239	FBan0030239	FBgn0050239	CR30239	CR30239	FBgn0011847
CG33859		FBgn0053859	His2A:CG33859	His2A:CG33859	
CG1670	FBan0001670	FBgn0031110	Obp19b	Odorant-binding protein 19b	FBgn0044641
CG1671	FBan0001671	FBgn0033454	CG1671	CG1671	
CG1673	FBan0001673	FBgn0030482	CG1673	CG1673	
CG1674	FBan0001674	FBgn0039897	CG1674	CG1674	
CG1675	FBan0001675	FBgn0033457	CG1675	CG1675	
CG1676	FBan0001676	FBgn0031114	cactin	cactin	
CG1677	FBan0001677	FBgn0029941	CG1677	CG1677	
CG1678	FBan0001678	FBgn0031176	CG1678	CG1678	FBgn0063274
CG17820	FBan0017820	FBgn0038914	fit	female-specific independent of transformer	
CG17821	FBan0017821	FBgn0034383	CG17821	CG17821	
CG18550	FBan0018550	FBgn0041710	yellow-f	yellow-f	FBgn0038104
CR30240	FBan0030240	FBgn0050240	CR30240	CR30240	FBgn0011847,FBgn0060237
CG33860		FBgn0053860	His3:CG33860	His3:CG33860	
CG33861		FBgn0053861	His1:CG33861	His1:CG33861	
CR30241	FBan0030241	FBgn0050241	CR30241	CR30241	FBgn0060168
CG17824	FBan0017824	FBgn0036234	CG17824	CG17824	
CG33862		FBgn0053862	His2A:CG33862	His2A:CG33862	
CG33863		FBgn0053863	His3:CG33863	His3:CG33863	
CG18554	FBan0018554	FBgn0038060	CG18554	CG18554	
CR30244	FBan0030244	FBgn0011882	tRNA:I:49Fb	transfer RNA:ile:49Fb	FBgn0003788,FBgn0050244,FBgn0060199
CG17826	FBan0017826	FBgn0036227	CG17826	CG17826	
CG18555	FBan0018555	FBgn0031510	CG18555	CG18555	
CG33864		FBgn0053864	His1:CG33864	His1:CG33864	
CG33865		FBgn0053865	His2A:CG33865	His2A:CG33865	
CG18557	FBan0018557	FBgn0031470	CG18557	CG18557	
CR30246	FBan0030246	FBgn0011884	tRNA:I:49Fd	transfer RNA:ile:49Fd	FBgn0003788,FBgn0050246,FBgn0060197
CG33866		FBgn0053866	His3:CG33866	His3:CG33866	
CG17828	FBan0017828	FBgn0016038	mod(r)	modifier of rudimentary	FBgn0025636,FBgn0045872
CR30247	FBan0030247	FBgn0011885	tRNA:I:49Fe	transfer RNA:ile:49Fe	FBgn0003788,FBgn0050247,FBgn0060196
CG17829	FBan0017829	FBgn0025635	CG17829	CG17829	FBgn0029530
CG18558	FBan0018558	FBgn0031469	CG18558	CG18558	
CG33868		FBgn0053868	His2B:CG33868	His2B:CG33868	
CG18559	FBan0018559	FBgn0041337	Cyp309a2	Cyp309a2	FBgn0031433
CR30249	FBan0030249	FBgn0050249	CR30249	CR30249	FBgn0060205
CG33869		FBgn0053869	His4:CG33869	His4:CG33869	
CG1681	FBan0001681	FBgn0030484	CG1681	CG1681	
CG1683	FBan0001683	FBgn0025111	Ant2	Adenine nucleotide translocase 2	FBgn0027300,FBgn0028338,FBgn0040166,FBgn0064129
CG1685	FBan0001685	FBgn0015527	pen	penguin	
CG1688	FBan0001688	FBgn0027589	CG1688	CG1688	FBgn0043917,FBgn0043919,FBgn0043920,FBgn0043921,FBgn0043954
CG1689	FBan0001689	FBgn0002576	lz	lozenge	
CR30250	FBan0030250	FBgn0050250	CR30250	CR30250	FBgn0060206
CG18561	FBan0018561	FBgn0032301	CG18561	CG18561	
CG33870		FBgn0053870	His2B:CG33870	His2B:CG33870	
CG33871		FBgn0053871	His4:CG33871	His4:CG33871	
CR30251	FBan0030251	FBgn0050251	CR30251	CR30251	FBgn0060207
CG17834	FBan0017834	FBgn0028394	CG17834	CG17834	FBgn0063101
CR30252	FBan0030252	FBgn0011878	tRNA:H:48F	transfer RNA:his:48F	FBgn0011876,FBgn0050252,FBgn0060204
CG18563	FBan0018563	FBgn0032639	CG18563	CG18563	
CG33872		FBgn0053872	His2B:CG33872	His2B:CG33872	
CG33873		FBgn0053873	His4:CG33873	His4:CG33873	
CR30253	FBan0030253	FBgn0011877	tRNA:H&PSgr;	transfer RNA:his:pseudogene	FBgn0050253,FBgn0060290
CG17835	FBan0017835	FBgn0001269	inv	invected	
CG17836	FBan0017836	FBgn0038661	CG17836	CG17836	FBgn0025952
CG33874		FBgn0053874	His2B:CG33874	His2B:CG33874	
CR30254	FBan0030254	FBgn0050254	CR30254	CR30254	FBgn0060072
CG33875		FBgn0053875	His4:CG33875	His4:CG33875	
CR30255	FBan0030255	FBgn0011915	tRNA:M2:48Ba	transfer RNA:met2:48Ba	FBgn0003807,FBgn0050255,FBgn0060137
CG17838	FBan0017838	FBgn0038826	CG17838	CG17838	FBgn0010818,FBgn0061828
CG33876		FBgn0053876	His2B:CG33876	His2B:CG33876	
CR30257	FBan0030257	FBgn0050257	CR30257	CR30257	FBgn0011988,FBgn0060034
CG33877		FBgn0053877	His4:CG33877	His4:CG33877	
CG18568	FBan0018568	FBgn0033888	CG18568	CG18568	FBgn0044770
CG17839	FBan0017839	FBgn0036454	CG17839	CG17839	
CG33878		FBgn0053878	His2B:CG33878	His2B:CG33878	
CG33879		FBgn0053879	His4:CG33879	His4:CG33879	
CG1690	FBan0001690	FBgn0033442	CG1690	CG1690	
CG1691	FBan0001691	FBgn0030235	Imp	IGF-II mRNA-binding protein	FBgn0025229,FBgn0026687,FBgn0044592
CG1692	FBan0001692	FBgn0002641	mal	maroon-like	
CG1693	FBan0001693	FBgn0015558	tty	tweety	
CG1695	FBan0001695	FBgn0031116	CG1695	CG1695	
CG1696	FBan0001696	FBgn0029067	l(1)G0269	lethal (1) G0269	FBgn0031173,FBgn0063165,FBgn0066839
CG1697	FBan0001697	FBgn0030318	rho-4	rhomboid-4	
CG1698	FBan0001698	FBgn0033443	CG1698	CG1698	
CG17840	FBan0017840	FBgn0031611	CG17840	CG17840	
CG17841	FBan0017841	FBgn0028480	CG17841	CG17841	FBgn0025969
CG33880		FBgn0053880	His2B:CG33880	His2B:CG33880	
CR30260		FBgn0050260	CR30260	CR30260	FBgn0011988,FBgn0060033
CG17843	FBan0017843	FBgn0038919	CG17843	CG17843	FBgn0044562
CG33881		FBgn0053881	His4:CG33881	His4:CG33881	
CG18572	FBan0018572	FBgn0003189	r	rudimentary	FBgn0003548,FBgn0026833,FBgn0042228
CG33882		FBgn0053882	His2B:CG33882	His2B:CG33882	
CG33883		FBgn0053883	His4:CG33883	His4:CG33883	
CG33884		FBgn0053884	His2B:CG33884	His2B:CG33884	
CG33885		FBgn0053885	His4:CG33885	His4:CG33885	
CG33886		FBgn0053886	His2B:CG33886	His2B:CG33886	
CG18577	FBan0018577	FBgn0037870	CG18577	CG18577	
CG33887		FBgn0053887	His4:CG33887	His4:CG33887	
CG18578	FBan0018578	FBgn0040259	Ugt86Da	Ugt86Da	FBgn0027072,FBgn0037865
CG33888		FBgn0053888	His2B:CG33888	His2B:CG33888	
CG33889		FBgn0053889	His4:CG33889	His4:CG33889	
CG33890		FBgn0053890	His2B:CG33890	His2B:CG33890	
CG18581	FBan0018581	FBgn0036466	CG18581	CG18581	
CG17853	FBan0017853	FBgn0026393	Or43b	Odorant receptor 43b	
CG18582	FBan0018582	FBgn0025743	mbt	mushroom bodies tiny	FBgn0025244,FBgn0026024,FBgn0044827
CG33891		FBgn0053891	His4:CG33891	His4:CG33891	
CG33892		FBgn0053892	His2B:CG33892	His2B:CG33892	
CG8100	FBan0008100	FBgn0036410	CG8100	CG8100	
CG33893		FBgn0053893	His4:CG33893	His4:CG33893	
CG17855	FBan0017855	FBgn0032124	CG17855	CG17855	
CG18584	FBan0018584	FBgn0033107	CG18584	CG18584	
CG8102	FBan0008102	FBgn0034007	CG8102	CG8102	
CG17856	FBan0017856	FBgn0039576	CG17856	CG17856	
CG18585	FBan0018585	FBgn0031929	CG18585	CG18585	
CG33894		FBgn0053894	His2B:CG33894	His2B:CG33894	
CG18586	FBan0018586	FBgn0035642	CG18586	CG18586	
CG33895		FBgn0053895	His4:CG33895	His4:CG33895	
CG33896		FBgn0053896	His2B:CG33896	His2B:CG33896	
CG8104	FBan0008104	FBgn0036059	nudE	nudE	
CG8105	FBan0008105	FBgn0030661	CG8105	CG8105	
CG33897		FBgn0053897	His4:CG33897	His4:CG33897	
CG33898		FBgn0053898	His2B:CG33898	His2B:CG33898	
CG33899		FBgn0053899	His4:CG33899	His4:CG33899	
CG8107	FBan0008107	FBgn0025866	CalpB	Calpain-B	
CG8108	FBan0008108	FBgn0027567	CG8108	CG8108	
CG18591	FBan0018591	FBgn0031962	CG18591	CG18591	FBgn0064937
CG8110	FBan0008110	FBgn0024187	syd	sunday driver	FBgn0035826
CG18593	FBan0018593	FBgn0036237	viaf	viral IAP-associated factor	FBgn0044799,FBgn0044800
CG8111	FBan0008111	FBgn0035825	CG8111	CG8111	
CG18594	FBan0018594	FBgn0038973	CG18594	CG18594	FBgn0063081
CG8112	FBan0008112	FBgn0037612	CG8112	CG8112	
CG17867	FBan0017867	FBgn0030298	Or10a	Odorant receptor 10a	
CG18596	FBan0018596	FBgn0038953	CG18596	CG18596	
CG8114	FBan0008114	FBgn0003041	pbl	pebble	FBgn0010935,FBgn0046405,FBgn0046407
CG17868	FBan0017868	FBgn0028946	Or35a	Odorant receptor 35a	
CG18598	FBan0018598	FBgn0038589	CG18598	CG18598	
CG18599	FBan0018599	FBgn0038592	CG18599	CG18599	
CG8116	FBan0008116	FBgn0037614	CG8116	CG8116	
CG8117	FBan0008117	FBgn0030663	CG8117	CG8117	
CG8118	FBan0008118	FBgn0002643	mam	mastermind	FBgn0010581,FBgn0026797
CG8119	FBan0008119	FBgn0030664	CG8119	CG8119	
CG30203	FBan0030203	FBgn0050203	CG30203	CG30203	FBgn0033711
CG17870	FBan0017870	FBgn0004907	14-3-3&zgr;	14-3-3&zgr;	FBgn0010635,FBgn0019723,FBgn0023038,FBgn0046306,FBgn0064146
CG17871	FBan0017871	FBgn0036474	Or71a	Odorant receptor 71a	
CR30292	FBan0030292	FBgn0011906	tRNA:L2:44EF	transfer RNA:leu2:44EF	FBgn0050292,FBgn0060154
CG8120	FBan0008120	FBgn0037675	HP1e	HP1e	
CG8121	FBan0008121	FBgn0037680	CG8121	CG8121	
CG17876	FBan0017876	FBgn0000078	Amy-d	Amylase distal	FBgn0014456
CR30297	FBan0030297	FBgn0050297	CR30297	CR30297	FBgn0060200
CR30298	FBan0030298	FBgn0050298	CR30298	CR30298	FBgn0011988,FBgn0060042
CG8127	FBan0008127	FBgn0000568	Eip75B	Ecdysone-induced protein 75B	FBgn0010914,FBgn0011342,FBgn0011386,FBgn0011430,FBgn0011438,FBgn0013628,FBgn0043377,FBgn0046398,FBgn0046399,FBgn0047288
CR30299	FBan0030299	FBgn0050299	CR30299	CR30299	FBgn0011988,FBgn0060043
CG8128	FBan0008128	FBgn0030668	CG8128	CG8128	
CG8129	FBan0008129	FBgn0037684	CG8129	CG8129	
CG30217	FBan0030217	FBgn0050217	CG30217	CG30217	FBgn0034757
CG30219	FBan0030219	FBgn0050219	CG30219	CG30219	FBgn0034754
CG7400	FBan0007400	FBgn0021953	Fatp	Fatty acid (long chain) transport protein	FBgn0032263,FBgn0061183
CG7402	FBan0007402	FBgn0036768	CG7402	CG7402	
CG17885	FBan0017885	FBgn0029521	Or1a	Odorant receptor 1a	
CG8132	FBan0008132	FBgn0037687	CG8132	CG8132	
CG7404	FBan0007404	FBgn0035849	ERR	estrogen-related receptor	
CG7405	FBan0007405	FBgn0022936	CycH	Cyclin H	
CG8134	FBan0008134	FBgn0030671	CG8134	CG8134	
CG17888	FBan0017888	FBgn0016694	Pdp1	PAR-domain protein 1	FBgn0035820,FBgn0044667
CG7406	FBan0007406	FBgn0030980	CG7406	CG7406	
CG8135	FBan0008135	FBgn0037689	CG8135	CG8135	
CG7407	FBan0007407	FBgn0037134	CG7407	CG7407	FBgn0064922
CG8136	FBan0008136	FBgn0037616	CG8136	CG8136	FBgn0044573,FBgn0044614
CG8137	FBan0008137	FBgn0028987	Spn2	Serine protease inhibitor 2	FBgn0032007
CG7408	FBan0007408	FBgn0036765	CG7408	CG7408	
CG7409	FBan0007409	FBgn0035817	CG7409	CG7409	
CG8138	FBan0008138	FBgn0038122	CG8138	CG8138	
CG30222	FBan0030222	FBgn0050222	CG30222	CG30222	FBgn0034637,FBgn0040656
CG17894	FBan0017894	FBgn0000338	cnc	cap-n-collar	FBgn0010824,FBgn0039062,FBgn0039063,FBgn0045881,FBgn0045892
CG7411	FBan0007411	FBgn0003011	ort	ora transientless	FBgn0016658,FBgn0038726
CG8141	FBan0008141	FBgn0038125	CG8141	CG8141	FBgn0062508
CG8142	FBan0008142	FBgn0030871	CG8142	CG8142	
CG17896	FBan0017896	FBgn0023537	CG17896	CG17896	
CG7413	FBan0007413	FBgn0015799	Rbf	Retinoblastoma-family protein	
CG7414	FBan0007414	FBgn0037135	CG7414	CG7414	FBgn0062150
CG7415	FBan0007415	FBgn0037580	DppIII	Dipeptidyl aminopeptidase III	
CG8144	FBan0008144	FBgn0026188	ps	pasilla	FBgn0037693,FBgn0037695,FBgn0042204
CG8145	FBan0008145	FBgn0037617	CG8145	CG8145	
CG8146	FBan0008146	FBgn0030869	Socs16D	Suppressor of Cytokine Signaling at 16D	
CG7417	FBan0007417	FBgn0034431	Tab2	Tab2	
CG8147	FBan0008147	FBgn0043791	CG8147	CG8147	FBgn0037699
CG8149	FBan0008149	FBgn0037700	CG8149	CG8149	
CG7420	FBan0007420	FBgn0031344	CG7420	CG7420	
CG7421	FBan0007421	FBgn0037137	Nopp140	Nopp140	
CG7422	FBan0007422	FBgn0035815	CG7422	CG7422	
CG8151	FBan0008151	FBgn0033929	Tfb1	Tfb1	FBgn0010631
CG7423	FBan0007423	FBgn0030982	CG7423	CG7423	
CG8152	FBan0008152	FBgn0034008	CG8152	CG8152	
CG7424	FBan0007424	FBgn0031980	RpL36A	Ribosomal protein L36A	FBgn0025270
CG8153	FBan0008153	FBgn0004698	mus210	mutagen-sensitive 210	FBgn0002896,FBgn0002898,FBgn0010427
CG7425	FBan0007425	FBgn0011217	eff	effete	FBgn0004831,FBgn0011011,FBgn0011333,FBgn0011657,FBgn0013661,FBgn0013663,FBgn0013935,FBgn0062081
CG8155	FBan0008155	FBgn0034009	CG8155	CG8155	
CG8156	FBan0008156	FBgn0013750	Arf51F	ADP ribosylation factor 51F	
CG7427	FBan0007427	FBgn0036510	CG7427	CG7427	
CG8157	FBan0008157	FBgn0034010	CG8157	CG8157	FBgn0047179
CG7428	FBan0007428	FBgn0001174	halo	halo	FBgn0031346
CG7429	FBan0007429	FBgn0031979	CG7429	CG7429	
CG8159	FBan0008159	FBgn0037619	CG8159	CG8159	
CG14200	FBan0014200	FBgn0031023	CG14200	CG14200	
CG14204	FBan0014204	FBgn0031032	CG14204	CG14204	
CG14205	FBan0014205	FBgn0031034	CG14205	CG14205	
